"title","rating","price","finalprice"
"realme narzo 50A Prime (Flash Black, 4GB RAM+64GB Storage) FHD+ Display | 50MP AI Triple Camera (No Charger Variant)","1,506 ratings1,506 ratings","₹13,499.00₹13,499.00","₹11,449.00₹11,449.00"
"Redmi Note 11 (Horizon Blue, 4GB RAM, 64GB Storage) | 90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | Alexa Built-in | 33W Charger Included | Get 2 Months of YouTube Premium Free!","28,902 ratings28,902 ratings","",""
"Samsung Galaxy M13 (Stardust Brown, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus | Launch Offer of 2000 Instant Discount on SBI and ICICI Credit Cards Valid Till 24th July","156,060 ratings156,060 ratings","",""
"Samsung Galaxy M33 5G (Deep Ocean Blue, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Travel Adapter to be Purchased Separately | Bank Cashback of 3500 Valid Till 24th July","7,984 ratings7,984 ratings","₹25,999.00₹25,999.00","₹19,499.00₹19,499.00"
"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers","16,881 ratings16,881 ratings","",""
"OnePlus 8T 5G (Aquamarine Green, 12GB RAM, 256GB Storage)","26,660 ratings26,660 ratings","₹69,999.00₹69,999.00","₹39,999.00₹39,999.00"
"OnePlus 10R 5G (Sierra Black, 8GB RAM, 128GB Storage, 80W SuperVOOC)","2,162 ratings2,162 ratings","₹38,999.00₹38,999.00","₹34,999.00₹34,999.00"
"Samsung Galaxy M52 5G (ICY Blue, 6GB RAM, 128GB Storage) Latest Snapdragon 778G 5G | sAMOLED 120Hz Display","15,150 ratings15,150 ratings","",""
"MOTOROLA e32s (Slate Gray, 3GB RAM 32GB Storage)","","₹10,999.00₹10,999.00","₹9,690.00₹9,690.00"
"realme narzo 50i (Carbon Black, 4GB RAM+64GB Storage) - 6.5"" inch Large Display | 5000mAh Battery","19,201 ratings19,201 ratings","₹9,999.00₹9,999.00","₹8,999.00₹8,999.00"
